"","name","model","color","retailPrice","releaseDate"
"1","adidas Yeezy Boost 350 V2 Zebra","350 V2","multicolor","220","2017-02-25"
"2","adidas Yeezy Boost 350 V2 Cream White","350 V2","white","220","2017-04-29"
"3","adidas Yeezy Powerphase Calabasas Core White","Powerphase","white","120","2017-03-28"
"4","adidas Yeezy Boost 350 V2 Black Red","350 V2","black","220","2017-02-11"
"5","adidas Yeezy Boost 350 V2 Beluga","350 V2","gray","220","2016-09-24"
"6","adidas Yeezy Boost 350 V2 Core Black White","350 V2","black","220","2016-12-17"
"7","adidas Yeezy Boost 350 V2 Core Black Red","350 V2","black","220","2016-11-23"
"8","adidas Yeezy Boost 750 Light Brown Gum (Chocolate)","750","brown","350","2016-10-15"
"9","adidas Yeezy Boost 350 V2 Core Black Copper","350 V2","black","220","2016-11-23"
"10","adidas Yeezy Boost 350 Pirate Black (2016)","350 V1","black","200","2016-02-19"
"11","adidas Yeezy Boost 350 V2 Core Black Green","350 V2","black","220","2016-11-23"
"12","adidas Yeezy Boost 750 Light Grey Glow In The Dark","750","gray","350","2016-06-11"
"13","adidas Yeezy Boost 350 Moonrock","350 V1","gray","200","2015-11-14"
"14","adidas Yeezy Boost 350 Oxford Tan","350 V1","tan","200","2015-12-29"
"15","adidas Yeezy Boost 350 Pirate Black (2015)","350 V1","black","200","2015-08-22"
"16","adidas Yeezy Boost 750 Triple Black","750","black","350","2015-12-19"
"17","adidas Yeezy Boost 350 Turtledove","350 V1","multicolor","200","2015-06-27"
"18","adidas Yeezy Boost 750 OG Light Brown","750","gray","350","2015-02-14"
"19","Yeezy Combat Boot Season 4 Oil","Season 4 Combat Boot","brown","445","2017-04-24"
"20","Yeezy Military Boot Rock","Military Boot","tan","645","2016-11-04"
"21","adidas Yeezy Boost 950 Pirate Black","950 Boot","black","585","2015-10-29"
"22","Yeezy Military Crepe Boot Season 2 Taupe","Crepe Boot","tan","645","2016-06-06"
"23","adidas Yeezy Boost 950 Moonrock","950 Boot","gray","585","2015-10-29"
"24","adidas Yeezy Boost 950 Chocolate","950 Boot","brown","585","2015-10-29"
"25","Yeezy Crepe Boot Season 4 Oil","Crepe Boot","brown","645","2017-04-24"
"26","Yeezy Military Boot Burnt Sienna","Military Boot","orange","645","2016-11-04"
"27","Yeezy Military Boot Onyx Shade","Military Boot","brown","645","2016-11-04"
"28","Yeezy Crepe Boot Season 4 Taupe","Crepe Boot","tan","645","2017-04-24"
"29","Yeezy Military Boot Onyx","Military Boot","brown","645","2016-10-29"
"30","Yeezy Military Crepe Boot Oil","Crepe Boot","brown","645","2016-08-01"
"31","adidas Yeezy Boost 950 Peyote","950 Boot","white","585","2015-10-29"
"32","Yeezy Combat Boot Season 4 Sand","Season 4 Combat Boot","tan","445","2017-04-24"
