"","name","size","resellPrice","sellDate","day","date","sellMonth"
"1","adidas Yeezy Boost 350 V2 Zebra",5.5,732,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"2","adidas Yeezy Boost 350 V2 Zebra",10.5,640,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"3","adidas Yeezy Boost 350 V2 Zebra",10.5,588,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"4","adidas Yeezy Boost 350 V2 Zebra",11,590,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"5","adidas Yeezy Boost 350 V2 Zebra",10.5,585,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"6","adidas Yeezy Boost 350 V2 Zebra",9.5,586,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"7","adidas Yeezy Boost 350 V2 Zebra",4,580,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"8","adidas Yeezy Boost 350 V2 Zebra",7.5,565,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"9","adidas Yeezy Boost 350 V2 Zebra",11,661,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"10","adidas Yeezy Boost 350 V2 Zebra",10,640,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"11","adidas Yeezy Boost 350 V2 Zebra",10,630,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"12","adidas Yeezy Boost 350 V2 Zebra",10.5,600,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"13","adidas Yeezy Boost 350 V2 Zebra",5,723,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"14","adidas Yeezy Boost 350 V2 Zebra",9.5,600,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"15","adidas Yeezy Boost 350 V2 Zebra",9,598,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"16","adidas Yeezy Boost 350 V2 Zebra",11.5,639,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"17","adidas Yeezy Boost 350 V2 Zebra",11,630,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"18","adidas Yeezy Boost 350 V2 Zebra",6,675,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"19","adidas Yeezy Boost 350 V2 Zebra",13.5,669,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"20","adidas Yeezy Boost 350 V2 Zebra",16,732,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"21","adidas Yeezy Boost 350 V2 Zebra",9,585,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"22","adidas Yeezy Boost 350 V2 Zebra",10.5,644,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"23","adidas Yeezy Boost 350 V2 Zebra",12,630,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"24","adidas Yeezy Boost 350 V2 Zebra",10.5,583,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"25","adidas Yeezy Boost 350 V2 Zebra",10,600,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"26","adidas Yeezy Boost 350 V2 Zebra",7.5,570,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"27","adidas Yeezy Boost 350 V2 Zebra",9,581,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"28","adidas Yeezy Boost 350 V2 Zebra",8,524,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"29","adidas Yeezy Boost 350 V2 Zebra",10,640,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"30","adidas Yeezy Boost 350 V2 Zebra",8,515,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"31","adidas Yeezy Boost 350 V2 Zebra",10.5,589,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"32","adidas Yeezy Boost 350 V2 Zebra",4,560,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"33","adidas Yeezy Boost 350 V2 Zebra",6,700,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"34","adidas Yeezy Boost 350 V2 Zebra",11.5,622,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"35","adidas Yeezy Boost 350 V2 Zebra",8.5,580,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"36","adidas Yeezy Boost 350 V2 Zebra",13,642,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"37","adidas Yeezy Boost 350 V2 Zebra",12,601,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"38","adidas Yeezy Boost 350 V2 Zebra",13,607,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"39","adidas Yeezy Boost 350 V2 Zebra",9.5,565,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"40","adidas Yeezy Boost 350 V2 Zebra",10.5,600,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"41","adidas Yeezy Boost 350 V2 Zebra",10.5,584,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"42","adidas Yeezy Boost 350 V2 Zebra",7,595,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"43","adidas Yeezy Boost 350 V2 Zebra",9,550,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"44","adidas Yeezy Boost 350 V2 Zebra",7,600,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"45","adidas Yeezy Boost 350 V2 Zebra",9,560,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"46","adidas Yeezy Boost 350 V2 Zebra",9.5,630,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"47","adidas Yeezy Boost 350 V2 Zebra",8,521,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"48","adidas Yeezy Boost 350 V2 Zebra",9,543,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"49","adidas Yeezy Boost 350 V2 Zebra",4,600,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"50","adidas Yeezy Boost 350 V2 Zebra",6,700,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
