name,sellingDate,size,resellPrice
,$651,adidas Yeezy Boost 350 V2 Zebra,13
"Tuesday, October 17, 2017",$732,adidas Yeezy Boost 350 V2 Zebra,5.5
"Tuesday, October 17, 2017",$640,adidas Yeezy Boost 350 V2 Zebra,10.5
"Tuesday, October 17, 2017",$588,adidas Yeezy Boost 350 V2 Zebra,10.5
"Tuesday, October 17, 2017",$590,adidas Yeezy Boost 350 V2 Zebra,11
"Tuesday, October 17, 2017",$585,adidas Yeezy Boost 350 V2 Zebra,10.5
"Tuesday, October 17, 2017",$586,adidas Yeezy Boost 350 V2 Zebra,9.5
"Tuesday, October 17, 2017",$580,adidas Yeezy Boost 350 V2 Zebra,4
"Tuesday, October 17, 2017",$565,adidas Yeezy Boost 350 V2 Zebra,7.5
"Tuesday, October 17, 2017",$661,adidas Yeezy Boost 350 V2 Zebra,11
"Tuesday, October 17, 2017",$640,adidas Yeezy Boost 350 V2 Zebra,10
"Tuesday, October 17, 2017",$630,adidas Yeezy Boost 350 V2 Zebra,10
"Tuesday, October 17, 2017",$600,adidas Yeezy Boost 350 V2 Zebra,10.5
"Tuesday, October 17, 2017",$723,adidas Yeezy Boost 350 V2 Zebra,5
"Tuesday, October 17, 2017",$600,adidas Yeezy Boost 350 V2 Zebra,9.5
"Tuesday, October 17, 2017",$598,adidas Yeezy Boost 350 V2 Zebra,9
"Tuesday, October 17, 2017",$639,adidas Yeezy Boost 350 V2 Zebra,11.5
"Tuesday, October 17, 2017",$630,adidas Yeezy Boost 350 V2 Zebra,11
"Tuesday, October 17, 2017",$675,adidas Yeezy Boost 350 V2 Zebra,6
"Tuesday, October 17, 2017",$669,adidas Yeezy Boost 350 V2 Zebra,13.5
"Tuesday, October 17, 2017",$732,adidas Yeezy Boost 350 V2 Zebra,16
"Tuesday, October 17, 2017",$585,adidas Yeezy Boost 350 V2 Zebra,9
"Tuesday, October 17, 2017",$644,adidas Yeezy Boost 350 V2 Zebra,10.5
"Tuesday, October 17, 2017",$630,adidas Yeezy Boost 350 V2 Zebra,12
"Tuesday, October 17, 2017",$583,adidas Yeezy Boost 350 V2 Zebra,10.5
"Tuesday, October 17, 2017",$600,adidas Yeezy Boost 350 V2 Zebra,10
"Tuesday, October 17, 2017",$570,adidas Yeezy Boost 350 V2 Zebra,7.5
"Tuesday, October 17, 2017",$581,adidas Yeezy Boost 350 V2 Zebra,9
"Tuesday, October 17, 2017",$524,adidas Yeezy Boost 350 V2 Zebra,8
"Tuesday, October 17, 2017",$640,adidas Yeezy Boost 350 V2 Zebra,10
"Tuesday, October 17, 2017",$515,adidas Yeezy Boost 350 V2 Zebra,8
"Tuesday, October 17, 2017",$589,adidas Yeezy Boost 350 V2 Zebra,10.5
"Tuesday, October 17, 2017",$560,adidas Yeezy Boost 350 V2 Zebra,4
"Tuesday, October 17, 2017",$700,adidas Yeezy Boost 350 V2 Zebra,6
"Tuesday, October 17, 2017",$622,adidas Yeezy Boost 350 V2 Zebra,11.5
"Tuesday, October 17, 2017",$580,adidas Yeezy Boost 350 V2 Zebra,8.5
"Tuesday, October 17, 2017",$642,adidas Yeezy Boost 350 V2 Zebra,13
"Tuesday, October 17, 2017",$601,adidas Yeezy Boost 350 V2 Zebra,12
"Tuesday, October 17, 2017",$607,adidas Yeezy Boost 350 V2 Zebra,13
"Tuesday, October 17, 2017",$565,adidas Yeezy Boost 350 V2 Zebra,9.5
"Tuesday, October 17, 2017",$600,adidas Yeezy Boost 350 V2 Zebra,10.5
"Tuesday, October 17, 2017",$584,adidas Yeezy Boost 350 V2 Zebra,10.5
"Tuesday, October 17, 2017",$595,adidas Yeezy Boost 350 V2 Zebra,7
"Tuesday, October 17, 2017",$550,adidas Yeezy Boost 350 V2 Zebra,9
"Tuesday, October 17, 2017",$600,adidas Yeezy Boost 350 V2 Zebra,7
"Tuesday, October 17, 2017",$560,adidas Yeezy Boost 350 V2 Zebra,9
"Tuesday, October 17, 2017",$630,adidas Yeezy Boost 350 V2 Zebra,9.5
"Tuesday, October 17, 2017",$521,adidas Yeezy Boost 350 V2 Zebra,8
"Tuesday, October 17, 2017",$543,adidas Yeezy Boost 350 V2 Zebra,9
"Tuesday, October 17, 2017",$600,adidas Yeezy Boost 350 V2 Zebra,4
"Tuesday, October 17, 2017",$700,adidas Yeezy Boost 350 V2 Zebra,6
"Tuesday, October 17, 2017",$605,adidas Yeezy Boost 350 V2 Zebra,11
"Tuesday, October 17, 2017",$542,adidas Yeezy Boost 350 V2 Zebra,8
"Tuesday, October 17, 2017",$514,adidas Yeezy Boost 350 V2 Zebra,8
"Tuesday, October 17, 2017",$620,adidas Yeezy Boost 350 V2 Zebra,10
"Tuesday, October 17, 2017",$750,adidas Yeezy Boost 350 V2 Zebra,6
"Tuesday, October 17, 2017",$575,adidas Yeezy Boost 350 V2 Zebra,9.5
"Tuesday, October 17, 2017",$640,adidas Yeezy Boost 350 V2 Zebra,9.5
"Tuesday, October 17, 2017",$566,adidas Yeezy Boost 350 V2 Zebra,9
"Tuesday, October 17, 2017",$599,adidas Yeezy Boost 350 V2 Zebra,10.5
"Tuesday, October 17, 2017",$590,adidas Yeezy Boost 350 V2 Zebra,10
