"","name","size","resellPrice","sellDate","day","date","sellMonth","model","color","retailPrice","releaseDate","releaseMonth","resellPercentage"
"1","adidas Yeezy Boost 350 V2 Zebra",5.5,732,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",2.32727272727273
"2","adidas Yeezy Boost 350 V2 Zebra",10.5,640,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.90909090909091
"3","adidas Yeezy Boost 350 V2 Zebra",10.5,588,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.67272727272727
"4","adidas Yeezy Boost 350 V2 Zebra",11,590,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.68181818181818
"5","adidas Yeezy Boost 350 V2 Zebra",10.5,585,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.65909090909091
"6","adidas Yeezy Boost 350 V2 Zebra",9.5,586,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.66363636363636
"7","adidas Yeezy Boost 350 V2 Zebra",4,580,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.63636363636364
"8","adidas Yeezy Boost 350 V2 Zebra",7.5,565,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.56818181818182
"9","adidas Yeezy Boost 350 V2 Zebra",11,661,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",2.00454545454545
"10","adidas Yeezy Boost 350 V2 Zebra",10,640,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.90909090909091
"11","adidas Yeezy Boost 350 V2 Zebra",10,630,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.86363636363636
"12","adidas Yeezy Boost 350 V2 Zebra",10.5,600,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.72727272727273
"13","adidas Yeezy Boost 350 V2 Zebra",5,723,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",2.28636363636364
"14","adidas Yeezy Boost 350 V2 Zebra",9.5,600,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.72727272727273
